macro_id,macro,meso,micro,code,total_citations,cn_cits,us_cits,eu27_cits,row_cits,cn_share,us_share,eu27_share,row_share
2,Social Science,Urban Development,Tourism,251,29342.0,6056.376910224279,1040.2418940708415,9590.193610580453,12655.187585124426,0.20640641095440934,0.035452317295032426,0.326841851631806,0.43129942011875216
2,Social Science,Ethical & Creative AI,Artificial Cognition & Ethics,260,87357.99999999997,3623.7886894488756,24833.300108133368,28612.276967709495,30288.63423470823,0.041482047316203176,0.28427047446293846,0.3275289838104066,0.3467184944104517
2,Social Science,Ethical & Creative AI,Digital Art,261,33762.00000000001,3169.2615592695447,7279.5597182926695,10745.809123408335,12567.369599029458,0.09387066996237024,0.2156139955658038,0.31828117775630393,0.37223415671552207
2,Social Science,Ethical & Creative AI,Virtual Reality,262,73289.0,6148.948679306434,16463.905414352597,25678.295637676354,24997.850268664617,0.08390002154902419,0.22464360837714523,0.35037039170511747,0.3410859783687131
3,Natural Science,Climate & Hydrology,Tectonics & Geology,300,67045.0,16153.496632879305,11715.795929968981,16925.84679308235,22249.860644069362,0.24093514255916632,0.17474525960129736,0.25245501965966666,0.3318645781798697
3,Natural Science,Climate & Hydrology,Topography & Earth-Observation,301,220320.9999999999,93180.17622547444,22895.664250646452,44098.72194569763,60146.43757818139,0.422929163472726,0.10391957303501011,0.20015668931104003,0.2729945741812238
3,Natural Science,Climate & Hydrology,Hydrology & Marine Science,302,288177.99999999994,64604.86135679193,41677.8904050337,63165.904065076684,118729.34417309763,0.22418387717588414,0.14462551063937465,0.21919058382345874,0.41200002836128247
3,Natural Science,Climate & Hydrology,Ecosystem Ecology,303,115830.99999999997,8235.867643447362,27862.614831377625,35182.79460137729,44549.7229237977,0.07110244790640989,0.24054540521430043,0.30374247482433286,0.3846096720549569
3,Natural Science,Climate & Hydrology,Climate & Atmospheric Prediction,304,298911.9999999999,71635.35778093479,61922.624641740076,75356.26101975262,89997.7565575724,0.239653669912666,0.20716004925108428,0.25210182602154696,0.30108445481470275
3,Natural Science,Material Science,"Flow, Wind & Heat Modeling",310,125984.00000000003,25106.027050475353,27129.05054155529,30631.25370214496,43117.66870582443,0.1992794882721246,0.21533726934813377,0.24313606253290063,0.342247179846841
3,Natural Science,Material Science,"Material Strength, Damage & Fabrication",311,301618.9999999999,67533.42495717338,40017.61898435724,70672.77207001802,123395.18398845123,0.22390308620204102,0.13267605483857867,0.23431140634382466,0.40910945261555565
3,Natural Science,Material Science,"Polymers, Photonics & Biomaterials",312,532464.0,161088.59579421295,96086.63226799294,112408.40599597499,162880.36594181915,0.3025342479382887,0.1804565797274425,0.21110987033109277,0.3058993020031761
3,Natural Science,Energy & Thermodynamics,Petroleum Mapping & Extraction,320,43790.00000000001,14465.363897213902,6260.888855086263,4467.610573191758,18596.136674508085,0.33033486862785794,0.14297531068934144,0.10202353444146511,0.4246662862413355
3,Natural Science,Energy & Thermodynamics,Environmental Engineering,321,145273.0,24133.315696256766,10967.34263497075,31032.16459039832,79140.17707837417,0.16612388879046186,0.07549470744715639,0.21361274696879887,0.5447686567935829
3,Natural Science,Agriculture & Forestry,Forest Ecosystems,330,183986.00000000006,48225.52172434176,24488.65959241844,47245.447732889676,64026.37095035019,0.2621151703082938,0.1331006684879199,0.25678827591713316,0.34799588528665315
3,Natural Science,Agriculture & Forestry,Soil & Microbiome Monitoring,331,127745.00000000001,38132.43673998009,17350.981371210783,34292.54551508046,37969.03637372868,0.2985043386432352,0.13582513109092945,0.26844530521805515,0.29722522504778015
3,Natural Science,Agriculture & Forestry,Crop Disease & Species Classifier,332,141778.99999999997,40508.87671624615,6892.60058260311,18382.86889349257,75994.65380765813,0.285718454187476,0.048615102254939806,0.1296586158281027,0.5360078277294814
3,Natural Science,Agriculture & Forestry,Livestock & Veterinary Science,333,81423.0,14645.924528766847,9008.078353156821,23883.881303211343,33885.115814864985,0.17987453826028085,0.11063309326795649,0.2933308930303642,0.4161614754413984
3,Natural Science,Agriculture & Forestry,Digital Agriculture & Yield Optimization,334,154511.0,28600.53195722961,17410.67532231044,35696.22110366808,72803.57161679187,0.18510353280497577,0.11268243246312844,0.23102705376101432,0.4711869809708815
3,Natural Science,Astrophysics & Quantumphysics,Astrophysics,340,123156.99999999997,7314.245473469581,38098.488349775325,44192.44450469153,33551.82167206354,0.05938960411076579,0.30934894768283844,0.3588301477357482,0.2724313004706476
